folio,reserva,proveedor,fecha,moneda,monto,pagado,recibo
4701,82,23789,2024-12-20,USD,16960.00,1,86
5017,156,25360,2025-02-27,MXN,3874900.00,0,0
5457,156,25365,2025-05-06,MXN,233089.64,1,433
5389,170,27316,2025-04-23,EUR,3375.00,1,0
5237,210,26615,2025-03-21,USD,10441.82,0,0
5238,210,26615,2025-03-21,USD,10441.82,0,0
6004,215,24236,2025-08-11,EUR,4717.00,1,1541
5476,294,27591,2025-05-07,EUR,500.00,1,738
6261,329,25633,2025-09-23,USD,2039.39,0,0
6262,329,28064,2025-09-23,USD,5630.00,0,0
5611,404,28391,2025-06-05,MXN,8800.00,0,0
5853,512,27142,2025-07-16,USD,14380.00,0,0
6147,566,28282,2025-09-06,MXN,3886.00,0,0
6227,566,28350,2025-09-25,MXN,32160.13,0,0
6488,808,32456,2025-11-06,EUR,6838.00,0,0
6494,808,32800,2025-11-07,EUR,6838.00,0,0
6847,848,23789,2025-12-10,USD,7338.00,1,2756
6887,924,31639,2025-12-18,USD,6560.00,1,2852
6888,929,33833,2025-12-18,EUR,4000.00,1,2857
7053,1042,34566,2026-01-29,EUR,2231.70,1,3245
7056,1042,34566,2026-06-03,EUR,5207.30,1,3246
7059,1048,33418,2026-01-30,MXN,12000.00,1,3264
7061,1048,33418,2026-08-03,MXN,67800.00,0,0
7183,1061,34859,2026-02-10,EUR,960.00,1,3391
